ID,Nome,Ascoltatori,Ascolti,Popolarità,PopolaritàLog
13986,Sürpriz,2613,17177,6.57115,2.02434
13987,Mekado,2294,19922,8.68061,2.27012
13988,Imaani,14483,77527,5.35259,1.84886
13989,Friderika,1994,16068,8.05413,2.20322
13990,Darja Švajger,1578,15949,10.10069,2.407
13991,Aliona Moon,10196,119463,11.7155,2.54282
13992,Anjeza Shahini,2873,28285,9.84168,2.38339
13993,Silje Vige,2204,18522,8.4,2.2407
13994,Sabina Babayeva,9513,120117,12.62528,2.61192
13995,Kati Wolf,16588,191383,11.53674,2.52866
13996,Niamh Kavanagh,26361,146542,5.55883,1.88081
13997,Lisa Andreas,2957,19874,6.71872,2.04364
13998,Fazla,1215,12995,10.68667,2.45844
13999,Vânia Fernandes,7746,59423,7.67045,2.15992
14000,Şebnem Paker,9680,93550,9.66325,2.3668
14001,Tijana Bogicevic,8309,76238,9.17424,2.31985
14002,Paul Harrington,5509,22562,4.09473,1.6282
14003,Jana Burčeska,9920,119310,12.026,2.56694
14004,Moran Mazor,7381,64448,8.73042,2.27525
14005,Severine,8777,38227,4.35486,1.678
14006,Claudette Pace,1770,9508,5.36871,1.85139
14007,Edsilia Rombley,22348,191032,8.54767,2.25629
14008,Miriam Christine,1287,6400,4.96894,1.78656
14009,Mihai Trăistariu,4507,32838,7.28438,2.11437
14010,Elnur Huseynov,10380,76386,7.35825,2.12324
14011,Artsvik,11571,102635,8.86925,2.28942
14012,Kejsi Tola,13901,130589,9.39354,2.34118
14013,Nevena Bozovic,8222,60573,7.36628,2.1242
14014,Franca Raimondi,2345,6705,2.85805,1.35016
14015,Sandrine François,2247,21808,9.70106,2.37034
14016,Norma John,10497,94081,8.9618,2.29875
14017,Mariya Yaremchuk,16653,149010,8.9474,2.29731
14018,Nenad Knezevic Knez,4146,33527,8.08463,2.20658
14019,Maria Elena Kyriakou,6832,46956,6.87194,2.0633
14020,Rona Nishliu,6394,68855,10.767,2.46529
14021,Lidia Isac,8077,52970,6.55731,2.02251
